;;;;;;;;Rapport d'inventaire;;;;;;;;;;;;;;Date : 2026-07-09;
;;;;;;;;;;;;;;;;;;;;;;Page : 1/1;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
De;2026-06-01;;;À;;2026-07-09;;;;;Médicaments internes;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Nom;;Conc.;;;;;DIN;;;# Prod.;;Mfr;Qté Dist.;Qté Inv.;# Cont.;Coût;Total;;;DIN;upc;;Classe AHFS
JAMP K 20;;1500 MG;;;;;80013007;;;_;;JAMPPHARMA;1293;50;290;0.12;6.18;;;80013007;622082280844;;Autres médicaments
JAMP K 8;;600 MG;;;;;80013005;;;_;;JAMPPHARMA;252;117;340;0.04;5.02;;;80013005;622082280981;;Autres médicaments
JAMP K CITRATE;;10 MEQ;;;;;80023817;;;_;;JAMPPHARMA;84;83;3;0.16;13.65;;;80023817;622082281742;;Autres médicaments
JAMP MAGNESIUM;;250 MG;;;;;80043440;;;_;;JAMPPHARMA;336;274;160;0.08;23.10;;;80043440;622082282237;;Autres médicaments
JAMP MAGNESIUM GLUCONATE;;500 MG;;;;;80009539;;;_;;JAMPPHARMA;980;11;132;0.12;1.27;;;80009539;622082280806;;Autres médicaments
JAMP MULTI 10;;_;;;;;80027568;;;_;;JAMPPHARMA;322;275;338;0.16;44.00;;;80027568;622082281681;;Autres médicaments
JAMP ROSUVASTATIN CALCIUM;;20 MG;;;;;2498359;;;_;;JAMPPHARMA;2661;743;181;0.18;133.74;;;2498359;622082278452;;Autres médicaments
JAMP ROSUVASTATIN CALCIUM;;10 MG;;;;;2498340;;;_;;JAMPPHARMA;3500;1266;182;0.14;182.68;;;2498340;622082278421;;Autres médicaments
JAMP ROSUVASTATIN CALCIUM;;40 MG;;;;;2498367;;;_;;JAMPPHARMA;1232;341;188;0.21;72.33;;;2498367;622082278483;;Autres médicaments
JAMP ROSUVASTATIN CALCIUM;;5 MG;;;;;2498332;;;_;;JAMPPHARMA;2026;888;222;0.14;121.74;;;2498332;622082278391;;Autres médicaments
JAMP SULFATE FERREUX;;300 MG;;;;;31100;;;_;;JAMPPHARMA;2990;714;250;0.02;11.71;;;31100;622082280318;;Autres médicaments
